"COU","Country","SEX","Sex","IND","Indicator","YEAR","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"LVA","Latvia","TOTAL","Total","FAM3","Share of births outside of marriage (% of all births)","2014","2014","PC","Percentage","0","Units",,,44,,
"LVA","Latvia","TOTAL","Total","FAM3","Share of births outside of marriage (% of all births)","2015","2015","PC","Percentage","0","Units",,,41.5,,
"LVA","Latvia","TOTAL","Total","FAM3","Share of births outside of marriage (% of all births)","2016","2016","PC","Percentage","0","Units",,,40.9,,
"LVA","Latvia","TOTAL","Total","FAM3","Share of births outside of marriage (% of all births)","2017","2017","PC","Percentage","0","Units",,,40.4,,
"LVA","Latvia","TOTAL","Total","FAM3","Share of births outside of marriage (% of all births)","2018","2018","PC","Percentage","0","Units",,,39.5,,
"ISL","Iceland","TOTAL","Total","FAM19D","Proportion (%) of the population aged 25-29 neither employed nor in education or training","2012","2012","PC","Percentage","0","Units",,,12,,
"ISL","Iceland","TOTAL","Total","FAM19D","Proportion (%) of the population aged 25-29 neither employed nor in education or training","2013","2013","PC","Percentage","0","Units",,,10.3,,
"ISL","Iceland","TOTAL","Total","FAM19D","Proportion (%) of the population aged 25-29 neither employed nor in education or training","2014","2014","PC","Percentage","0","Units",,,12.8,,
"ISL","Iceland","TOTAL","Total","FAM19D","Proportion (%) of the population aged 25-29 neither employed nor in education or training","2015","2015","PC","Percentage","0","Units",,,9,,
"ISL","Iceland","TOTAL","Total","FAM19D","Proportion (%) of the population aged 25-29 neither employed nor in education or training","2016","2016","PC","Percentage","0","Units",,,7.3,,
"ISL","Iceland","TOTAL","Total","FAM19D","Proportion (%) of the population aged 25-29 neither employed nor in education or training","2017","2017","PC","Percentage","0","Units",,,6.7,,
"ISL","Iceland","TOTAL","Total","FAM19D","Proportion (%) of the population aged 25-29 neither employed nor in education or training","2018","2018","PC","Percentage","0","Units",,,8.1,,
"ISL","Iceland","TOTAL","Total","FAM19D","Proportion (%) of the population aged 25-29 neither employed nor in education or training","2019","2019","PC","Percentage","0","Units",,,9,,
"ISL","Iceland","TOTAL","Total","FAM19D","Proportion (%) of the population aged 25-29 neither employed nor in education or training","2020","2020","PC","Percentage","0","Units",,,11.2,,
"IRL","Ireland","TOTAL","Total","FAM19A","Proportion (%) of the population aged 15-29 neither employed nor in education or training","2012","2012","PC","Percentage","0","Units",,,21.1,,
"IRL","Ireland","TOTAL","Total","FAM19A","Proportion (%) of the population aged 15-29 neither employed nor in education or training","2013","2013","PC","Percentage","0","Units",,,19.2,,
"IRL","Ireland","TOTAL","Total","FAM19A","Proportion (%) of the population aged 15-29 neither employed nor in education or training","2014","2014","PC","Percentage","0","Units",,,18,,
"IRL","Ireland","TOTAL","Total","FAM19A","Proportion (%) of the population aged 15-29 neither employed nor in education or training","2015","2015","PC","Percentage","0","Units",,,16.2,,
"IRL","Ireland","TOTAL","Total","FAM19A","Proportion (%) of the population aged 15-29 neither employed nor in education or training","2016","2016","PC","Percentage","0","Units",,,14.8,,
"IRL","Ireland","TOTAL","Total","FAM19A","Proportion (%) of the population aged 15-29 neither employed nor in education or training","2017","2017","PC","Percentage","0","Units",,,13.1,,
"IRL","Ireland","TOTAL","Total","FAM19A","Proportion (%) of the population aged 15-29 neither employed nor in education or training","2018","2018","PC","Percentage","0","Units",,,11.7,,
"IRL","Ireland","TOTAL","Total","FAM19A","Proportion (%) of the population aged 15-29 neither employed nor in education or training","2019","2019","PC","Percentage","0","Units",,,11,,
"IRL","Ireland","TOTAL","Total","FAM19A","Proportion (%) of the population aged 15-29 neither employed nor in education or training","2020","2020","PC","Percentage","0","Units",,,11,,
"CAN","Canada","TOTAL","Total","FAM16C","Post-neonatal mortality rate","2012","2012","DEATH_1000BIRTH","Deaths per 1 000 live births","0","Units",,,1.2,,
"PRT","Portugal","TOTAL","Total","FAM16C","Post-neonatal mortality rate","2012","2012","DEATH_1000BIRTH","Deaths per 1 000 live births","0","Units",,,1.2,,
"PRT","Portugal","TOTAL","Total","FAM16C","Post-neonatal mortality rate","2013","2013","DEATH_1000BIRTH","Deaths per 1 000 live births","0","Units",,,1,,
"PRT","Portugal","TOTAL","Total","FAM16C","Post-neonatal mortality rate","2014","2014","DEATH_1000BIRTH","Deaths per 1 000 live births","0","Units",,,0.8,,
"ITA","Italy","TOTAL","Total","FAM16C","Post-neonatal mortality rate","2012","2012","DEATH_1000BIRTH","Deaths per 1 000 live births","0","Units",,,0.9,,
"ITA","Italy","TOTAL","Total","FAM16C","Post-neonatal mortality rate","2013","2013","DEATH_1000BIRTH","Deaths per 1 000 live births","0","Units",,,0.9,,
"GBR","United Kingdom","TOTAL","Total","FAM2","Mean age of women at childbirth","2012","2012","YR","Years","0","Units",,,29.8,,
"GBR","United Kingdom","TOTAL","Total","FAM2","Mean age of women at childbirth","2013","2013","YR","Years","0","Units",,,30,,
"GBR","United Kingdom","TOTAL","Total","FAM2","Mean age of women at childbirth","2014","2014","YR","Years","0","Units",,,30.2,,
"GBR","United Kingdom","TOTAL","Total","FAM2","Mean age of women at childbirth","2015","2015","YR","Years","0","Units",,,30.3,,
"GBR","United Kingdom","TOTAL","Total","FAM2","Mean age of women at childbirth","2016","2016","YR","Years","0","Units",,,30.4,,
"GBR","United Kingdom","TOTAL","Total","FAM2","Mean age of women at childbirth","2017","2017","YR","Years","0","Units",,,30.5,,
"GBR","United Kingdom","TOTAL","Total","FAM2","Mean age of women at childbirth","2018","2018","YR","Years","0","Units",,,30.6,,
"GBR","United Kingdom","TOTAL","Total","FAM2","Mean age of women at childbirth","2019","2019","YR","Years","0","Units",,,30.7,,
"GBR","United Kingdom","TOTAL","Total","FAM2","Mean age of women at childbirth","2020","2020","YR","Years","0","Units",,,30.7,,
"CHL","Chile","TOTAL","Total","FAM19A","Proportion (%) of the population aged 15-29 neither employed nor in education or training","2013","2013","PC","Percentage","0","Units",,,18.8,,
"CHL","Chile","TOTAL","Total","FAM19A","Proportion (%) of the population aged 15-29 neither employed nor in education or training","2015","2015","PC","Percentage","0","Units",,,18,,
"CHL","Chile","TOTAL","Total","FAM19A","Proportion (%) of the population aged 15-29 neither employed nor in education or training","2017","2017","PC","Percentage","0","Units",,,18.4,,
"POL","Poland","TOTAL","Total","FAM19D","Proportion (%) of the population aged 25-29 neither employed nor in education or training","2012","2012","PC","Percentage","0","Units",,,22.4,,
"POL","Poland","TOTAL","Total","FAM19D","Proportion (%) of the population aged 25-29 neither employed nor in education or training","2013","2013","PC","Percentage","0","Units",,,24.1,,
"POL","Poland","TOTAL","Total","FAM19D","Proportion (%) of the population aged 25-29 neither employed nor in education or training","2014","2014","PC","Percentage","0","Units",,,21.6,,
"POL","Poland","TOTAL","Total","FAM19D","Proportion (%) of the population aged 25-29 neither employed nor in education or training","2015","2015","PC","Percentage","0","Units",,,20.9,,
"POL","Poland","TOTAL","Total","FAM19D","Proportion (%) of the population aged 25-29 neither employed nor in education or training","2016","2016","PC","Percentage","0","Units",,,19.3,,
"POL","Poland","TOTAL","Total","FAM19D","Proportion (%) of the population aged 25-29 neither employed nor in education or training","2017","2017","PC","Percentage","0","Units",,,18.3,,
"POL","Poland","TOTAL","Total","FAM19D","Proportion (%) of the population aged 25-29 neither employed nor in education or training","2018","2018","PC","Percentage","0","Units",,,17.7,,
"POL","Poland","TOTAL","Total","FAM19D","Proportion (%) of the population aged 25-29 neither employed nor in education or training","2019","2019","PC","Percentage","0","Units",,,18,,
"POL","Poland","TOTAL","Total","FAM19D","Proportion (%) of the population aged 25-29 neither employed nor in education or training","2020","2020","PC","Percentage","0","Units",,,19.7,,
"KOR","Korea","TOTAL","Total","FAM2","Mean age of women at childbirth","2012","2012","YR","Years","0","Units",,,31.6,,
"KOR","Korea","TOTAL","Total","FAM2","Mean age of women at childbirth","2013","2013","YR","Years","0","Units",,,31.8,,
"KOR","Korea","TOTAL","Total","FAM2","Mean age of women at childbirth","2014","2014","YR","Years","0","Units",,,32,,
"KOR","Korea","TOTAL","Total","FAM2","Mean age of women at childbirth","2015","2015","YR","Years","0","Units",,,32.2,,
"KOR","Korea","TOTAL","Total","FAM2","Mean age of women at childbirth","2016","2016","YR","Years","0","Units",,,32.4,,
"KOR","Korea","TOTAL","Total","FAM2","Mean age of women at childbirth","2017","2017","YR","Years","0","Units",,,32.6,,
"KOR","Korea","TOTAL","Total","FAM2","Mean age of women at childbirth","2018","2018","YR","Years","0","Units",,,32.8,,
"KOR","Korea","TOTAL","Total","FAM2","Mean age of women at childbirth","2019","2019","YR","Years","0","Units",,,33,,
"KOR","Korea","TOTAL","Total","FAM2","Mean age of women at childbirth","2020","2020","YR","Years","0","Units",,,33.1,,
"SWE","Sweden","TOTAL","Total","FAM19B","Proportion (%) of the population aged 15-19 neither employed nor in education or training","2012","2012","PC","Percentage","0","Units",,,4.1,,
"SWE","Sweden","TOTAL","Total","FAM19B","Proportion (%) of the population aged 15-19 neither employed nor in education or training","2013","2013","PC","Percentage","0","Units",,,4.1,,
"SWE","Sweden","TOTAL","Total","FAM19B","Proportion (%) of the population aged 15-19 neither employed nor in education or training","2014","2014","PC","Percentage","0","Units",,,4.3,,
"SWE","Sweden","TOTAL","Total","FAM19B","Proportion (%) of the population aged 15-19 neither employed nor in education or training","2017","2017","PC","Percentage","0","Units",,,3.6,,
"SWE","Sweden","TOTAL","Total","FAM19B","Proportion (%) of the population aged 15-19 neither employed nor in education or training","2018","2018","PC","Percentage","0","Units",,,6.8,,
"SWE","Sweden","TOTAL","Total","FAM19B","Proportion (%) of the population aged 15-19 neither employed nor in education or training","2019","2019","PC","Percentage","0","Units",,,3.3,,
"SWE","Sweden","TOTAL","Total","FAM19B","Proportion (%) of the population aged 15-19 neither employed nor in education or training","2020","2020","PC","Percentage","0","Units",,,2.9,,
"TUR","Türkiye","TOTAL","Total","FAM4A","Crude marriage rate (marriages per 1000 people)","2012","2012","_1000","Per thousand","0","Units",,,8,,
"TUR","Türkiye","TOTAL","Total","FAM4A","Crude marriage rate (marriages per 1000 people)","2013","2013","_1000","Per thousand","0","Units",,,7.9,,
"TUR","Türkiye","TOTAL","Total","FAM4A","Crude marriage rate (marriages per 1000 people)","2014","2014","_1000","Per thousand","0","Units",,,7.8,,
"TUR","Türkiye","TOTAL","Total","FAM4A","Crude marriage rate (marriages per 1000 people)","2015","2015","_1000","Per thousand","0","Units",,,7.7,,
"TUR","Türkiye","TOTAL","Total","FAM4A","Crude marriage rate (marriages per 1000 people)","2016","2016","_1000","Per thousand","0","Units",,,7.5,,
"TUR","Türkiye","TOTAL","Total","FAM4A","Crude marriage rate (marriages per 1000 people)","2017","2017","_1000","Per thousand","0","Units",,,7.1,,
"TUR","Türkiye","TOTAL","Total","FAM4A","Crude marriage rate (marriages per 1000 people)","2018","2018","_1000","Per thousand","0","Units",,,6.8,,
"TUR","Türkiye","TOTAL","Total","FAM4A","Crude marriage rate (marriages per 1000 people)","2019","2019","_1000","Per thousand","0","Units",,,6.6,,
"TUR","Türkiye","TOTAL","Total","FAM4A","Crude marriage rate (marriages per 1000 people)","2020","2020","_1000","Per thousand","0","Units",,,5.8,,
"LVA","Latvia","TOTAL","Total","FAM19A","Proportion (%) of the population aged 15-29 neither employed nor in education or training","2012","2012","PC","Percentage","0","Units",,,19.1,,
"LVA","Latvia","TOTAL","Total","FAM19A","Proportion (%) of the population aged 15-29 neither employed nor in education or training","2013","2013","PC","Percentage","0","Units",,,15.8,,
"LVA","Latvia","TOTAL","Total","FAM19A","Proportion (%) of the population aged 15-29 neither employed nor in education or training","2014","2014","PC","Percentage","0","Units",,,14.5,,
"LVA","Latvia","TOTAL","Total","FAM19A","Proportion (%) of the population aged 15-29 neither employed nor in education or training","2015","2015","PC","Percentage","0","Units",,,13,,
"LVA","Latvia","TOTAL","Total","FAM19A","Proportion (%) of the population aged 15-29 neither employed nor in education or training","2016","2016","PC","Percentage","0","Units",,,14.4,,
"LVA","Latvia","TOTAL","Total","FAM19A","Proportion (%) of the population aged 15-29 neither employed nor in education or training","2017","2017","PC","Percentage","0","Units",,,13.9,,
"LVA","Latvia","TOTAL","Total","FAM19A","Proportion (%) of the population aged 15-29 neither employed nor in education or training","2018","2018","PC","Percentage","0","Units",,,11.2,,
"LVA","Latvia","TOTAL","Total","FAM19A","Proportion (%) of the population aged 15-29 neither employed nor in education or training","2019","2019","PC","Percentage","0","Units",,,10,,
"LVA","Latvia","TOTAL","Total","FAM19A","Proportion (%) of the population aged 15-29 neither employed nor in education or training","2020","2020","PC","Percentage","0","Units",,,13.6,,
"JPN","Japan","TOTAL","Total","FAM4A","Crude marriage rate (marriages per 1000 people)","2012","2012","_1000","Per thousand","0","Units",,,5.3,,
"JPN","Japan","TOTAL","Total","FAM4A","Crude marriage rate (marriages per 1000 people)","2013","2013","_1000","Per thousand","0","Units",,,5.3,,
"JPN","Japan","TOTAL","Total","FAM4A","Crude marriage rate (marriages per 1000 people)","2014","2014","_1000","Per thousand","0","Units",,,5.1,,
"JPN","Japan","TOTAL","Total","FAM4A","Crude marriage rate (marriages per 1000 people)","2015","2015","_1000","Per thousand","0","Units",,,5.1,,
"JPN","Japan","TOTAL","Total","FAM4A","Crude marriage rate (marriages per 1000 people)","2016","2016","_1000","Per thousand","0","Units",,,5,,
"JPN","Japan","TOTAL","Total","FAM4A","Crude marriage rate (marriages per 1000 people)","2017","2017","_1000","Per thousand","0","Units",,,4.9,,
"JPN","Japan","TOTAL","Total","FAM4A","Crude marriage rate (marriages per 1000 people)","2018","2018","_1000","Per thousand","0","Units",,,4.7,,
"JPN","Japan","TOTAL","Total","FAM4A","Crude marriage rate (marriages per 1000 people)","2019","2019","_1000","Per thousand","0","Units",,,4.8,,
"JPN","Japan","TOTAL","Total","FAM4A","Crude marriage rate (marriages per 1000 people)","2020","2020","_1000","Per thousand","0","Units",,,4.3,,
"DEU","Germany","TOTAL","Total","FAM19C","Proportion (%) of the population aged 20-24 neither employed nor in education or training","2012","2012","PC","Percentage","0","Units",,,11.2,,
"DEU","Germany","TOTAL","Total","FAM19C","Proportion (%) of the population aged 20-24 neither employed nor in education or training","2013","2013","PC","Percentage","0","Units",,,10.3,,
"DEU","Germany","TOTAL","Total","FAM19C","Proportion (%) of the population aged 20-24 neither employed nor in education or training","2014","2014","PC","Percentage","0","Units",,,10.1,,
"DEU","Germany","TOTAL","Total","FAM19C","Proportion (%) of the population aged 20-24 neither employed nor in education or training","2015","2015","PC","Percentage","0","Units",,,9.3,,
"DEU","Germany","TOTAL","Total","FAM19C","Proportion (%) of the population aged 20-24 neither employed nor in education or training","2016","2016","PC","Percentage","0","Units",,,10.8,,
"DEU","Germany","TOTAL","Total","FAM19C","Proportion (%) of the population aged 20-24 neither employed nor in education or training","2017","2017","PC","Percentage","0","Units",,,10.1,,
"DEU","Germany","TOTAL","Total","FAM19C","Proportion (%) of the population aged 20-24 neither employed nor in education or training","2018","2018","PC","Percentage","0","Units",,,10.4,,
"DEU","Germany","TOTAL","Total","FAM19C","Proportion (%) of the population aged 20-24 neither employed nor in education or training","2019","2019","PC","Percentage","0","Units",,,8.8,,
"PRT","Portugal","TOTAL","Total","FAM19A","Proportion (%) of the population aged 15-29 neither employed nor in education or training","2012","2012","PC","Percentage","0","Units",,,16.6,,
"PRT","Portugal","TOTAL","Total","FAM19A","Proportion (%) of the population aged 15-29 neither employed nor in education or training","2013","2013","PC","Percentage","0","Units",,,17.3,,
"PRT","Portugal","TOTAL","Total","FAM19A","Proportion (%) of the population aged 15-29 neither employed nor in education or training","2014","2014","PC","Percentage","0","Units",,,17.7,,
"PRT","Portugal","TOTAL","Total","FAM19A","Proportion (%) of the population aged 15-29 neither employed nor in education or training","2015","2015","PC","Percentage","0","Units",,,15.3,,
"PRT","Portugal","TOTAL","Total","FAM19A","Proportion (%) of the population aged 15-29 neither employed nor in education or training","2016","2016","PC","Percentage","0","Units",,,15.6,,
"PRT","Portugal","TOTAL","Total","FAM19A","Proportion (%) of the population aged 15-29 neither employed nor in education or training","2017","2017","PC","Percentage","0","Units",,,12.4,,
"PRT","Portugal","TOTAL","Total","FAM19A","Proportion (%) of the population aged 15-29 neither employed nor in education or training","2018","2018","PC","Percentage","0","Units",,,11.6,,
"PRT","Portugal","TOTAL","Total","FAM19A","Proportion (%) of the population aged 15-29 neither employed nor in education or training","2019","2019","PC","Percentage","0","Units",,,11.5,,
"PRT","Portugal","TOTAL","Total","FAM19A","Proportion (%) of the population aged 15-29 neither employed nor in education or training","2020","2020","PC","Percentage","0","Units",,,11.1,,
"AUS","Australia","TOTAL","Total","FAM2","Mean age of women at childbirth","2012","2012","YR","Years","0","Units",,,30.1,,
"AUS","Australia","TOTAL","Total","FAM2","Mean age of women at childbirth","2013","2013","YR","Years","0","Units",,,30.1,,
"AUS","Australia","TOTAL","Total","FAM2","Mean age of women at childbirth","2014","2014","YR","Years","0","Units",,,30.2,,
"AUS","Australia","TOTAL","Total","FAM2","Mean age of women at childbirth","2015","2015","YR","Years","0","Units",,,30.3,,
"AUS","Australia","TOTAL","Total","FAM2","Mean age of women at childbirth","2016","2016","YR","Years","0","Units",,,30.5,,
"AUS","Australia","TOTAL","Total","FAM2","Mean age of women at childbirth","2017","2017","YR","Years","0","Units",,,30.6,,
"AUS","Australia","TOTAL","Total","FAM2","Mean age of women at childbirth","2018","2018","YR","Years","0","Units",,,30.7,,
"AUS","Australia","TOTAL","Total","FAM2","Mean age of women at childbirth","2019","2019","YR","Years","0","Units",,,30.8,,
"AUS","Australia","TOTAL","Total","FAM2","Mean age of women at childbirth","2020","2020","YR","Years","0","Units",,,30.7,,
"LUX","Luxembourg","TOTAL","Total","FAM16C","Post-neonatal mortality rate","2012","2012","DEATH_1000BIRTH","Deaths per 1 000 live births","0","Units",,,0.8,,
"LUX","Luxembourg","TOTAL","Total","FAM16C","Post-neonatal mortality rate","2013","2013","DEATH_1000BIRTH","Deaths per 1 000 live births","0","Units",,,0.8,,
"LUX","Luxembourg","TOTAL","Total","FAM16C","Post-neonatal mortality rate","2014","2014","DEATH_1000BIRTH","Deaths per 1 000 live births","0","Units",,,1,,
"CHE","Switzerland","TOTAL","Total","FAM16A","Infant mortality rate","2012","2012","DEATH_1000BIRTH","Deaths per 1 000 live births","0","Units",,,3.6,,
"CHE","Switzerland","TOTAL","Total","FAM16A","Infant mortality rate","2013","2013","DEATH_1000BIRTH","Deaths per 1 000 live births","0","Units",,,3.9,,
"CHE","Switzerland","TOTAL","Total","FAM16A","Infant mortality rate","2014","2014","DEATH_1000BIRTH","Deaths per 1 000 live births","0","Units",,,3.9,,
"CHE","Switzerland","TOTAL","Total","FAM16A","Infant mortality rate","2015","2015","DEATH_1000BIRTH","Deaths per 1 000 live births","0","Units",,,3.9,,
"CHE","Switzerland","TOTAL","Total","FAM16A","Infant mortality rate","2016","2016","DEATH_1000BIRTH","Deaths per 1 000 live births","0","Units",,,3.6,,
"CHE","Switzerland","TOTAL","Total","FAM16A","Infant mortality rate","2017","2017","DEATH_1000BIRTH","Deaths per 1 000 live births","0","Units",,,3.5,,
"CHE","Switzerland","TOTAL","Total","FAM16A","Infant mortality rate","2018","2018","DEATH_1000BIRTH","Deaths per 1 000 live births","0","Units",,,3.3,,
"SVN","Slovenia","TOTAL","Total","FAM19A","Proportion (%) of the population aged 15-29 neither employed nor in education or training","2012","2012","PC","Percentage","0","Units",,,11,,
"SVN","Slovenia","TOTAL","Total","FAM19A","Proportion (%) of the population aged 15-29 neither employed nor in education or training","2013","2013","PC","Percentage","0","Units",,,13.2,,
"SVN","Slovenia","TOTAL","Total","FAM19A","Proportion (%) of the population aged 15-29 neither employed nor in education or training","2014","2014","PC","Percentage","0","Units",,,13.7,,
"SVN","Slovenia","TOTAL","Total","FAM19A","Proportion (%) of the population aged 15-29 neither employed nor in education or training","2015","2015","PC","Percentage","0","Units",,,14.6,,
"SVN","Slovenia","TOTAL","Total","FAM19A","Proportion (%) of the population aged 15-29 neither employed nor in education or training","2016","2016","PC","Percentage","0","Units",,,11.6,,
"SVN","Slovenia","TOTAL","Total","FAM19A","Proportion (%) of the population aged 15-29 neither employed nor in education or training","2017","2017","PC","Percentage","0","Units",,,10.9,,
"SVN","Slovenia","TOTAL","Total","FAM19A","Proportion (%) of the population aged 15-29 neither employed nor in education or training","2018","2018","PC","Percentage","0","Units",,,9.7,,
"SVN","Slovenia","TOTAL","Total","FAM19A","Proportion (%) of the population aged 15-29 neither employed nor in education or training","2019","2019","PC","Percentage","0","Units",,,9.4,,
"SVN","Slovenia","TOTAL","Total","FAM19A","Proportion (%) of the population aged 15-29 neither employed nor in education or training","2020","2020","PC","Percentage","0","Units",,,9.1,,
"MEX","Mexico","TOTAL","Total","FAM16A","Infant mortality rate","2012","2012","DEATH_1000BIRTH","Deaths per 1 000 live births","0","Units",,,14.8,,
"MEX","Mexico","TOTAL","Total","FAM16A","Infant mortality rate","2013","2013","DEATH_1000BIRTH","Deaths per 1 000 live births","0","Units",,,14.4,,
"MEX","Mexico","TOTAL","Total","FAM16A","Infant mortality rate","2014","2014","DEATH_1000BIRTH","Deaths per 1 000 live births","0","Units",,,13.6,,
"MEX","Mexico","TOTAL","Total","FAM16A","Infant mortality rate","2015","2015","DEATH_1000BIRTH","Deaths per 1 000 live births","0","Units",,,13.6,,
"MEX","Mexico","TOTAL","Total","FAM16A","Infant mortality rate","2016","2016","DEATH_1000BIRTH","Deaths per 1 000 live births","0","Units",,,13.4,,
"MEX","Mexico","TOTAL","Total","FAM16A","Infant mortality rate","2017","2017","DEATH_1000BIRTH","Deaths per 1 000 live births","0","Units",,,13.5,,
"MEX","Mexico","TOTAL","Total","FAM16A","Infant mortality rate","2018","2018","DEATH_1000BIRTH","Deaths per 1 000 live births","0","Units",,,12.9,,
"SWE","Sweden","TOTAL","Total","FAM17","Child poverty rate","2013","2013","PC","Percentage","0","Units",,,9,,
"SWE","Sweden","TOTAL","Total","FAM17","Child poverty rate","2014","2014","PC","Percentage","0","Units",,,9.2,,
"SWE","Sweden","TOTAL","Total","FAM17","Child poverty rate","2015","2015","PC","Percentage","0","Units",,,9.1,,
"SWE","Sweden","TOTAL","Total","FAM17","Child poverty rate","2016","2016","PC","Percentage","0","Units",,,8.9,,
"SWE","Sweden","TOTAL","Total","FAM17","Child poverty rate","2017","2017","PC","Percentage","0","Units",,,9.3,,
"SWE","Sweden","TOTAL","Total","FAM17","Child poverty rate","2018","2018","PC","Percentage","0","Units",,,9,,
"SWE","Sweden","TOTAL","Total","FAM17","Child poverty rate","2019","2019","PC","Percentage","0","Units",,,9.4,,
"ISR","Israel","TOTAL","Total","FAM16C","Post-neonatal mortality rate","2012","2012","DEATH_1000BIRTH","Deaths per 1 000 live births","0","Units",,,1.2,,
"ISR","Israel","TOTAL","Total","FAM16C","Post-neonatal mortality rate","2013","2013","DEATH_1000BIRTH","Deaths per 1 000 live births","0","Units",,,1,,
"ISR","Israel","TOTAL","Total","FAM16C","Post-neonatal mortality rate","2014","2014","DEATH_1000BIRTH","Deaths per 1 000 live births","0","Units",,,1,,
"NOR","Norway","TOTAL","Total","FAM19D","Proportion (%) of the population aged 25-29 neither employed nor in education or training","2012","2012","PC","Percentage","0","Units",,,11.4,,
"NOR","Norway","TOTAL","Total","FAM19D","Proportion (%) of the population aged 25-29 neither employed nor in education or training","2013","2013","PC","Percentage","0","Units",,,12.6,,
"NOR","Norway","TOTAL","Total","FAM19D","Proportion (%) of the population aged 25-29 neither employed nor in education or training","2014","2014","PC","Percentage","0","Units",,,13.3,,
"NOR","Norway","TOTAL","Total","FAM19D","Proportion (%) of the population aged 25-29 neither employed nor in education or training","2015","2015","PC","Percentage","0","Units",,,14,,
"NOR","Norway","TOTAL","Total","FAM19D","Proportion (%) of the population aged 25-29 neither employed nor in education or training","2016","2016","PC","Percentage","0","Units",,,13.3,,
"NOR","Norway","TOTAL","Total","FAM19D","Proportion (%) of the population aged 25-29 neither employed nor in education or training","2017","2017","PC","Percentage","0","Units",,,12.7,,
"NOR","Norway","TOTAL","Total","FAM19D","Proportion (%) of the population aged 25-29 neither employed nor in education or training","2018","2018","PC","Percentage","0","Units",,,12.5,,
"NOR","Norway","TOTAL","Total","FAM19D","Proportion (%) of the population aged 25-29 neither employed nor in education or training","2019","2019","PC","Percentage","0","Units",,,11,,
"NOR","Norway","TOTAL","Total","FAM19D","Proportion (%) of the population aged 25-29 neither employed nor in education or training","2020","2020","PC","Percentage","0","Units",,,10.2,,
"DNK","Denmark","TOTAL","Total","FAM20","Fertility rates (births per 1000) for 15-19 year olds","2012","2012","CHLD","Children","0","Units",,,4.41,,
"DNK","Denmark","TOTAL","Total","FAM20","Fertility rates (births per 1000) for 15-19 year olds","2013","2013","CHLD","Children","0","Units",,,4.24,,
"DNK","Denmark","TOTAL","Total","FAM20","Fertility rates (births per 1000) for 15-19 year olds","2014","2014","CHLD","Children","0","Units",,,3.64,,
"DNK","Denmark","TOTAL","Total","FAM20","Fertility rates (births per 1000) for 15-19 year olds","2015","2015","CHLD","Children","0","Units",,,3.4,,
"DNK","Denmark","TOTAL","Total","FAM20","Fertility rates (births per 1000) for 15-19 year olds","2016","2016","CHLD","Children","0","Units",,,3.53,,
